Numero,Nom_produit,Prix
1,KICHOUSE Radiateurs Pour 2 Ensembles Gilet Thermique Ssd Accessoire De Refroidissement Pour Ordinateur Dissipateur De Chaleur D'entraînement D'état L'ordinateur Aluminium Composants étal,"9,49"
2,"YWBL-WH Webcam USB2.0, USB2.0 avec caméra Web HD MIC 300 000 Pixels Cam 360 ° pour Ordinateur Portable PC pour Skype/MSN, Microphone intégré, Accessoires Et Pièces D'Ordinateur","16,15"
3,osiuujkw Claviers sans cadre appareil clavier accessoires ordinateur composant pièces de rechange remplacement pour VivoBook S510,"16,09"
4,"SanDisk 128 Go Ultra microSDXC, Carte micro sd + adaptateur SD (Pour Smartphone et Tablette, Video Full HDD, jusqu'à 140 Mo/s, UHS-I, La performance A1, Class 10, U1)","12,90"
5,"Trust Lecteur DNI, Compatible avec Toutes Les Cartes DNI, Conforme FIPS 201, FIPS TAA et ISO 7816 Classe A, B, C, câble de 100 cm, USB Plug & Play","9,99"
6,UGREEN Revodok 105 Hub USB C HDMI 4K PD 100W Charge 3 Data Ports Adaptateur Multiports Docking Station Compatible avec iPhone 16 15 Série MacBook iPad Pro Air 2024 Surface Galaxy S24 S23 Ultra,"15,99"
7,"SanDisk 128 Go Extreme PRO carte SDXC + RescuePRO Deluxe, jusqu'à 200 Mo/s, UHS-I, Classe 10, U3, V30","20,95"
8,"Logitech M185 Souris Sans Fil, 2.4 GHz avec Mini Récepteur USB, Longévité de la Pile 12 Mois, Résolution du Capteur 1000 PPP, Ambidextre, Compatible PC, Mac, Ordinateur Portable - Gris/Noir","9,82"
9,UGREEN Câble USB C vers USB C PD Charge Rapide 60W Nylon Tressé Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 iPad Pro Air MacBook Pro (1M）,"6,97"
10,"Quntis Lot de 3 Câble de Chargeur iPhone 2M, MFi Certifié Câble, Fil Lightning Charge Rapide pour iPhone 11 12 13 14 Pro 13 Mini XS Max XR X 8 7 6s 6 Plus 5 Se iPad Chargeur, Cordon iPhone Blanc","9,89"
11,UGREEN Adaptateur USB C vers A 3.2 10Gbps OTG Lot de 2 Compatible avec iPhone 16 Plus Pro Max 15 MacBook Air iMac iPad Galaxy Tab S9 S24 (Gris),"7,99"
12,"Zspeed Stylet ipad avec Chargement Sans Fil, iPad Pencil avec Rejet de Paume & Sensibilité à l'inclinaison, Stylet pour iPad compatible avec iPad Pro 11/12.9, iPad 6/7/8/9/10, iPad Air/iPad Mini","18,99"
13,OSALADI 100 Pcs Accessoires Informatiques Vis De Montage Du Ventilateur Boîtier De L'Ordinateur Vis Du Ventilateur Ordinateur Ventilateur Vis Longue Composants Informatiques Ordinateur,"13,79"
14,Gadpiparty 50 Pièces Accessoires informatiques Accessoires d'ordinateur Boîtier d'ordinateur Composants de PC vis longues du ventilateur de l'ordinateur vis métalliques pour ordinateur,"9,79"
15,"Filtre pour Refroidissement à L'eau, Ordinateur G1 4 Filetage 4'' Électronique Intérieure Accessoires pour Ordinateur Composants Ventilateurs Intérieurs Systèmes de Refroidissement avec Large","15,71"
16,"SanDisk 128 Go Ultra Dual Drive Go, Flash Drive Clé USB C, vitesse allant jusqu'à 400 Mo/s, Connecteurs USB Type-C et USB Type-A réversibles, Android smartphone stockage, Tablettes, Mac et PC, Noire","12,90"
17,"SanDisk Extreme 128 Go microSDXC, Carte micro sd + adaptateur SD, UHS-I V30, jusqu'à 190 Mo/s, pour votre smartphone, caméra d'action ou droner, RescuePro Deluxe, A2, Class 10, U3","13,99"
18,UGREEN Cat 8 Câble Ethernet Réseau RJ45 Super Débit 40Gbps 2000MHz Nylon Tressé Double Blindage Compatible avec Routeur Switch Modem Décodeur TV Box Internet PS5 PS4 Xbox Console de Jeux PC (1M),"6,99"
19,"TP-Link TL-SG105 Switch Ethernet Gigabit 5 ports RJ45 metallique 10/100/1000 Mbps, IGMP Snooping, switch RJ45 idéal pour étendre le réseau câblé pour les bureaux à domicile","15,73"
20,UGREEN Câble USB C Charge Rapide 3A Nylon Tressé Câble Chargeur USB C Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 Manette PS5 (0.5M),"5,94"
21,"SanDisk 128 Go Ultra Flair Flash Drive Clé USB, des vitesses allant jusqu'à 150 Mo/s, USB 3.0, Protection par mot de passe, Un boîtier en métal élégant et resistant, Argent/Noir","12,90"
22,"ProCase 2 films de protection d'écran en verre trempé 9H pour iPad 10e génération 10,9"" 2022 - Transparent","9,99"
23,"AiTodos® Support Ordinateur Portable, Laptop Stand,Alliage D'aluminium, Léger, Compact Portable Pliable - Ventilation et Dissipation de la Chaleur, Réglage à 6 Vitesses - Support pc Portable","12,78"
24,SanDisk 128 Go Extreme PRO microSDXC carte + adaptateur SD + RescuePro Deluxe jusqu'à 200 Mo/s avec des performances applicatives A2 UHS-I Class 10 U3 V30,"17,72"
25,ilikable Lot de 3 Câble USB C vers Lightning 1M Cable iPhone Charge Rapide MFi Certifié Chargeur pour iPhone 14 13 12 Pro Max Mini iPhone 11 Pro X XR XS SE 2020 8 Plus,"8,73"
26,"Lecteur CD DVD externe pour ordinateur portable USB 3.0 Type-C Portable Graveur DVD CD+/-RW Lecteur CD DVD externe pour PC, bureau, MacBook, iMac, Windows 11/10/8/7/XP/Vista/Linux/Mac/OS","21,98"
27,Kingston Technology Canvas Select Plus Carte MIcro SD SDCS2/128GB Class 10 + Adaptateur inclus,"7,49"
28,"INIU Câble USB C vers USB C [100W/2M], Câble de Charge Rapide PD 5A QC 4.0, Câble Chargeur Nylon Tressé Type-C pour iPhone 16/15 Pro Max Samsung Galaxy S24/S23 A55/A35 iPad Air Mini MacBook Steam Deck","6,15"
29,"INIU Câble USB A vers USB C [Lot de 3 (2+2+0.5M)], Câble USB C 3.1A Charge Rapide, Câble de Charge USB-C Tressé en Nylon pour iPhone 16 15 Pro Max iPad Air Mini Samsung Galaxy S24 S23 S22 Ultra Xiaomi","9,98"
30,"CSL-Computer - Tapis de souris XXL Speed Gaming Titanwolf noir 900 x 400 mm - Grande base de table - Améliore la précision et la vitesse, 23032532, Type 1","12,95"
31,"Module de Refroidissement Thermoélectrique, Dissipateur de Chaleur Diamètre Extérieur 26 Mm TES1 04903 Électronique Circulaire Accessoires pour Ordinateur Composants Ventilateurs","18,06"
32,Denash Carte PCI Carte Graphique VGA 8 Mo 32 Bits Ordinateur de Bureau Composants Accessoires Multi-Affichage pour ATI Rage XL,"19,42"
33,UKCOCO Accessoires Pour Ordinateur Portable D'Ordinateur 1 Pièce Composant De Bandoulière Matériel De Sport Pour Hommes Et Femmes Bretelles Réglables,"8,79"
34,KICHOUSE Radiateurs Pour 2 Ensembles Gilet Thermique Ssd Accessoire De Refroidissement Pour Ordinateur Dissipateur De Chaleur D'entraînement D'état L'ordinateur Aluminium Composants étal,"9,49"
35,"YWBL-WH Webcam USB2.0, USB2.0 avec caméra Web HD MIC 300 000 Pixels Cam 360 ° pour Ordinateur Portable PC pour Skype/MSN, Microphone intégré, Accessoires Et Pièces D'Ordinateur","16,15"
36,osiuujkw Claviers sans cadre appareil clavier accessoires ordinateur composant pièces de rechange remplacement pour VivoBook S510,"16,09"
37,"Lot de 4 adaptateurs USB C vers USB 3.0, adaptateur USB type C compatible avec iPhone 15, iPad, Samsung Galaxy S23 S22, MacBook, ChromeBook, Google Pixel","6,29"
38,"TP-Link Adaptateur Bluetooth 5.0 UB500, dongle bluetooth 5.0, clé bluetooth pour PC, casque, souris, manette, clavier, imprimantes, smartphone, tablette, compatible avec Windows 11/10/8.1/7","8,79"
39,"SanDisk SDSQUA4-032G-GN6MT, Lot de 2 cartes mémoire microSDXC Ultra 32 Go + Adaptateur SD. Vitesse de Lecture Allant jusqu'à 120Mo/S, Classe 10, U1, A1, rouge et gris","9,94"
40,UGREEN Adaptateur USB A vers C 3.2 10Gbps Lot de 3 Convertisseur TypeC Femelle à TypeA Mâle Charge Rapide Data Sync Compatible avec iPhone 14 13 Plus Pro Max MacBook iPad Air Galaxy S24 A54,"10,99"
41,UGREEN Câble HDMI 4K Ultra HD Cordon 2.0 Haute Vitesse par Ethernet en Nylon Tressé Supporte 3D HDR Retour Audio Compatible avec PS5 PS4 PS3 Lecteur Blu Ray Xbox 360 PC Ampli TV Écran (2M),"7,30"
42,UGREEN USB 3.0 Lecteur de Carte SD Micro Adaptateur 5Gbps Transfert Rapide Accès Simultané à 2 Cartes Max 2To Card Reader Supporter TF SDXC SDHC MMC pour Windows MacOS Linux,"12,18"
43,"Samsung Pro Plus MB-MD256SA/EU Carte microSD + adaptateur SD 256 Go pour jeux mobiles sur smartphones, tablettes et consoles portables, UHS-I U3, Full HD & 4K UHD, 180 Mo/s en lecture, 130 Mo/s en","18,04"
44,"TP-Link Clé WiFi Puissante AC1300 Mbps, adaptateur USB wifi, dongle wifi, USB 3.0 Double Bande, 2.4G / 5GHz, MU-MIMO, compatible avec Windows 11/10/8.1/8/7/XP, Mac OS X, Archer T3U","15,99"
45,"Hub USB C, 6 en 1 DEMKICO Adaptateur Multiport Type C avec HDMI 4K, Lecteur de Cartes SD/TF, Port USB 3.0 & USB 2.0, Port PD 100W, Compatible avec MacBook Pro/MacBook Air/Dell XPS et Plus Encore","14,99"
46,"Sniokco 10K 8K Câble HDMI 2.1 48Gbps 2M, Certifié Ultra Haute Vitesse HDMI® Cable 0.01ms 4K 240Hz 165Hz 120Hz 8K 60Hz eARC Netflix HDCP 2.3 2.2 DTS:X HDR10+ TV Moniteur Projecteur Roku PS5 X-box","10,79"
47,Kingston Technology DataTraveler Exodia DTX/64GB Flash Drive USB 3.2 Gen 1 - avec capuchon de protection et porte-clés en couleurs multiples,"4,69"
48,Kingston DataTraveler Exodia M Clé USB 3.2 Gen 1 DTXM/128GB - avec capuchon mobile (Noir + Rouge),"6,66"
49,OSALADI 100 Pcs Accessoires Informatiques Vis De Montage Du Ventilateur Boîtier De L'Ordinateur Vis Du Ventilateur Ordinateur Ventilateur Vis Longue Composants Informatiques Ordinateur,"13,79"
50,Gadpiparty 50 Pièces Accessoires informatiques Accessoires d'ordinateur Boîtier d'ordinateur Composants de PC vis longues du ventilateur de l'ordinateur vis métalliques pour ordinateur,"9,79"
51,"Filtre pour Refroidissement à L'eau, Ordinateur G1 4 Filetage 4'' Électronique Intérieure Accessoires pour Ordinateur Composants Ventilateurs Intérieurs Systèmes de Refroidissement avec Large","15,71"
52,"Metapen Stylet A8 pour Ipad, Précision au Pixel Près et Faible Latence de Pointe, Idéal pour Prendre des Notes, Dessiner et Signer, Apple Pencil avec Ipad 10/9/8/7/6, Pro 3/4/5/6, Air 3/4/5, Mini5/6","18,99"
53,"Razer DeathAdder Essential (2021) - Souris Gaming Filaire avec Capteur Optique de 6400 DPI (Design Ergonomique, 5 Boutons Programmables, Jusqu'à 10M de Clics) Noir","19,99"
54,"KECOW Stylet pour ipad 2018-2024, ipad Pencil avec Adsorption Magnétique & Rejet de Palme, Apple Pencil pour iPad Air M2/3/4/5, iPad Pro M4, iPad Pro 11"" 4/3/2/1, iPad Pro 12,9"" 3/4/5/6, iPad Mini 5/6","15,19"
55,Arctic MX-4 Pasta Térmica 4 Gramos,"6,90"
56,"Vinmooog Souris sans fil Bluetooth rechargeable sans fil pour ordinateur portable, souris verticale rétroéclairée de 7 couleurs, 3 dpi Récepteur USB 2,4 GHz Ultra mince","8,49"
57,UGREEN Lot de 2 Câble USB C vers USB C PD Charge Rapide 60W Nylon Tressé Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 S23 A05S A35 A55 Redmi 14C A3 Note 13 12 MacBook Pro iPad Pro (1M),"10,99"
58,"Logitech C270 Webcam Streaming HD, 720p/30ips, Appel Vidéo HD Large Champ de Vision, Correction de la Lumière, Micro Antiparasites, Skype, FaceTime, Camera PC/Mac/Portable/Tablette/Chromebook","16,54"
59,"Aceele HUB USB 3.0 5 Ports (avec Alimentation), Ultra-Fin avec 4 Ports de Données USB 3.0, SuperSpeed 5Gbps, Micro USB Port D'alimentation, pour MacBook Air/Pro, Surface Pro, Dell XPS 15, Clé USB","8,99"
60,"EooCoo Coque Compatible avec MacBook Air M2 M3 13.6 Pouces A2681 A3113, 2022 2024 Release avec Touch ID, Protection Coque Rigide en Plastique pour MacBook Air 13 M3 M2 - Transparent Clair","14,98"
61,"Arctic Mx-4 Highest Performance Thermal Compound, ACTCP00031B","6,26"
62,UGREEN Hub USB 3.0 4 Data Ports Ultra Fin Multiport Type A 5Gbps Haute Vitesse Compatible avec MacBook iMac Surface XPS PC Ordinateur Portable Disque Dur Clavier Souris (15cm),"12,99"
63,"Trust Gaming GXT 415 Zirox Casque Gaming Léger avec Transducteurs 50 mm pour PC, Xbox, PS4, PS5, Switch, Mobile, Audio Jack 3.5 mm, Câble de 2 m, Casque Gamer Filaire Over-Ear avec Micro - Noir","16,00"
64,"Module de Refroidissement Thermoélectrique, Dissipateur de Chaleur Diamètre Extérieur 26 Mm TES1 04903 Électronique Circulaire Accessoires pour Ordinateur Composants Ventilateurs","18,06"
65,Denash Carte PCI Carte Graphique VGA 8 Mo 32 Bits Ordinateur de Bureau Composants Accessoires Multi-Affichage pour ATI Rage XL,"19,42"
66,UKCOCO Accessoires Pour Ordinateur Portable D'Ordinateur 1 Pièce Composant De Bandoulière Matériel De Sport Pour Hommes Et Femmes Bretelles Réglables,"8,79"
67,KICHOUSE Radiateurs Pour 2 Ensembles Gilet Thermique Ssd Accessoire De Refroidissement Pour Ordinateur Dissipateur De Chaleur D'entraînement D'état L'ordinateur Aluminium Composants étal,"9,49"
68,"YWBL-WH Webcam USB2.0, USB2.0 avec caméra Web HD MIC 300 000 Pixels Cam 360 ° pour Ordinateur Portable PC pour Skype/MSN, Microphone intégré, Accessoires Et Pièces D'Ordinateur","16,15"
69,osiuujkw Claviers sans cadre appareil clavier accessoires ordinateur composant pièces de rechange remplacement pour VivoBook S510,"16,09"
70,"SanDisk 128 Go Ultra microSDXC, Carte micro sd + adaptateur SD (Pour Smartphone et Tablette, Video Full HDD, jusqu'à 140 Mo/s, UHS-I, La performance A1, Class 10, U1)","12,90"
71,"Trust Lecteur DNI, Compatible avec Toutes Les Cartes DNI, Conforme FIPS 201, FIPS TAA et ISO 7816 Classe A, B, C, câble de 100 cm, USB Plug & Play","9,99"
72,UGREEN Revodok 105 Hub USB C HDMI 4K PD 100W Charge 3 Data Ports Adaptateur Multiports Docking Station Compatible avec iPhone 16 15 Série MacBook iPad Pro Air 2024 Surface Galaxy S24 S23 Ultra,"15,99"
73,"SanDisk 128 Go Extreme PRO carte SDXC + RescuePRO Deluxe, jusqu'à 200 Mo/s, UHS-I, Classe 10, U3, V30","20,95"
74,"Logitech M185 Souris Sans Fil, 2.4 GHz avec Mini Récepteur USB, Longévité de la Pile 12 Mois, Résolution du Capteur 1000 PPP, Ambidextre, Compatible PC, Mac, Ordinateur Portable - Gris/Noir","9,82"
75,UGREEN Câble USB C vers USB C PD Charge Rapide 60W Nylon Tressé Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 iPad Pro Air MacBook Pro (1M）,"6,97"
76,"Quntis Lot de 3 Câble de Chargeur iPhone 2M, MFi Certifié Câble, Fil Lightning Charge Rapide pour iPhone 11 12 13 14 Pro 13 Mini XS Max XR X 8 7 6s 6 Plus 5 Se iPad Chargeur, Cordon iPhone Blanc","9,89"
77,UGREEN Adaptateur USB C vers A 3.2 10Gbps OTG Lot de 2 Compatible avec iPhone 16 Plus Pro Max 15 MacBook Air iMac iPad Galaxy Tab S9 S24 (Gris),"7,99"
