Numero,Nom_produit,Prix
1,"Dissipateur Thermique de Refroidisseur, Composants de Refroidissement Industriels de Dissipateur Thermique de Serveur SNK P48PS 2U pour CPU, Ordinateurs et Accessoires","19,49"
2,"YWBL-WH Webcam USB2.0, USB2.0 avec caméra Web HD MIC 300 000 Pixels Cam 360 ° pour Ordinateur Portable PC pour Skype/MSN, Microphone intégré, Accessoires Et Pièces D'Ordinateur","16,59"
3,"Dissipateur de Chaleur, SNK P0048PS 2U Serveur Dissipateur de Chaleur Refroidissement Industriel Dissipateurs de Chaleur en Aluminium Composants pour CPU Accessoires pour Ordinateur","19,53"
4,"SanDisk 128 Go Ultra microSDXC, Carte micro sd + adaptateur SD (Pour Smartphone et Tablette, Video Full HDD, jusqu'à 140 Mo/s, UHS-I, La performance A1, Class 10, U1)","12,90"
5,"Trust Lecteur DNI, Compatible avec Toutes Les Cartes DNI, Conforme FIPS 201, FIPS TAA et ISO 7816 Classe A, B, C, câble de 100 cm, USB Plug & Play","9,99"
6,"SanDisk 128 Go Extreme PRO carte SDXC + RescuePRO Deluxe, jusqu'à 200 Mo/s, UHS-I, Classe 10, U3, V30","21,25"
7,UGREEN Câble USB C vers USB C PD Charge Rapide 60W Nylon Tressé Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 iPad Pro Air MacBook Pro (1M）,"6,97"
8,UGREEN Revodok 105 Hub USB C HDMI 4K PD 100W Charge 3 Data Ports Adaptateur Multiports Docking Station Compatible avec iPhone 16 15 Série MacBook iPad Pro Air 2024 Surface Galaxy S24 S23 Ultra,"19,99"
9,"Logitech M185 Souris Sans Fil, 2.4 GHz avec Mini Récepteur USB, Longévité de la Pile 12 Mois, Résolution du Capteur 1000 PPP, Ambidextre, Compatible PC, Mac, Ordinateur Portable - Gris/Noir","9,82"
10,"Quntis Lot de 3 Câble de Chargeur iPhone 2M, MFi Certifié Câble, Fil Lightning Charge Rapide pour iPhone 11 12 13 14 Pro 13 Mini XS Max XR X 8 7 6s 6 Plus 5 Se iPad Chargeur, Cordon iPhone Blanc","9,89"
11,"SanDisk 128 Go Ultra Dual Drive Go, Flash Drive Clé USB C, vitesse allant jusqu'à 400 Mo/s, Connecteurs USB Type-C et USB Type-A réversibles, Android smartphone stockage, Tablettes, Mac et PC, Noire","13,99"
12,UGREEN Adaptateur USB C vers A 3.2 10Gbps OTG Lot de 2 Compatible avec iPhone 16 Plus Pro Max 15 MacBook Air iMac iPad Galaxy Tab S9 S24 (Gris),"9,99"
13,OSALADI 100 Pcs Accessoires Informatiques Vis De Montage Du Ventilateur Boîtier De L'Ordinateur Vis Du Ventilateur Ordinateur Ventilateur Vis Longue Composants Informatiques Ordinateur,"11,09"
14,osiuujkw Claviers sans cadre appareil clavier accessoires ordinateur composant pièces de rechange remplacement pour VivoBook S510,"14,70"
15,"Filtre pour Refroidissement à L'eau, Ordinateur G1 4 Filetage 4'' Électronique Intérieure Accessoires pour Ordinateur Composants Ventilateurs Intérieurs Systèmes de Refroidissement avec Large","15,24"
16,"SanDisk Extreme 128 Go microSDXC, Carte micro sd + adaptateur SD, UHS-I V30, jusqu'à 190 Mo/s, pour votre smartphone, caméra d'action ou droner, RescuePro Deluxe, A2, Class 10, U3","15,04"
17,UGREEN Cat 8 Câble Ethernet Réseau RJ45 Super Débit 40Gbps 2000MHz Nylon Tressé Double Blindage Compatible avec Routeur Switch Modem Décodeur TV Box Internet PS5 PS4 Xbox Console de Jeux PC (1M),"6,99"
18,"TP-Link TL-SG105 Switch Ethernet Gigabit 5 ports RJ45 metallique 10/100/1000 Mbps, IGMP Snooping, switch RJ45 idéal pour étendre le réseau câblé pour les bureaux à domicile","15,73"
19,"SanDisk 128 Go Ultra Flair Flash Drive Clé USB, des vitesses allant jusqu'à 150 Mo/s, USB 3.0, Protection par mot de passe, Un boîtier en métal élégant et resistant, Argent/Noir","12,29"
20,UGREEN Câble USB C Charge Rapide 3A Nylon Tressé Câble Chargeur USB C Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 Manette PS5 (0.5M),"12,00"
21,Kingston Technology Canvas Select Plus Carte MIcro SD SDCS2/128GB Class 10 + Adaptateur inclus,"6,99"
22,"CSL-Computer - Tapis de souris XXL Speed Gaming Titanwolf noir 900 x 400 mm - Grande base de table - Améliore la précision et la vitesse, 23032532, Type 1","7,49"
23,"AiTodos® Support Ordinateur Portable, Laptop Stand,Alliage D'aluminium, Léger, Compact Portable Pliable - Ventilation et Dissipation de la Chaleur, Réglage à 6 Vitesses - Support pc Portable","12,95"
24,"ProCase 2 films de protection d'écran en verre trempé 9H pour iPad 10e génération 10,9"" 2022 - Transparent","12,78"
25,"INIU Câble USB C vers USB C [100W/2M], Câble de Charge Rapide PD 5A QC 4.0, Câble Chargeur Nylon Tressé Type-C pour iPhone 16/15 Pro Max Samsung Galaxy S24/S23 A55/A35 iPad Air Mini MacBook Steam Deck","9,99"
26,SanDisk 128 Go Extreme PRO microSDXC carte + adaptateur SD + RescuePro Deluxe jusqu'à 200 Mo/s avec des performances applicatives A2 UHS-I Class 10 U3 V30,"6,69"
27,"INIU Câble USB A vers USB C [Lot de 3 (2+2+0.5M)], Câble USB C 3.1A Charge Rapide, Câble de Charge USB-C Tressé en Nylon pour iPhone 16 15 Pro Max iPad Air Mini Samsung Galaxy S24 S23 S22 Ultra Xiaomi","17,95"
28,UGREEN Câble HDMI 4K Ultra HD Cordon 2.0 Haute Vitesse par Ethernet en Nylon Tressé Supporte 3D HDR Retour Audio Compatible avec PS5 PS4 PS3 Lecteur Blu Ray Xbox 360 PC Ampli TV Écran (2M),"9,99"
29,ilikable Lot de 3 Câble USB C vers Lightning 1M Cable iPhone Charge Rapide MFi Certifié Chargeur pour iPhone 14 13 12 Pro Max Mini iPhone 11 Pro X XR XS SE 2020 8 Plus,"8,59"
30,UGREEN USB 3.0 Lecteur de Carte SD Micro Adaptateur 5Gbps Transfert Rapide Accès Simultané à 2 Cartes Max 2To Card Reader Supporter TF SDXC SDHC MMC pour Windows MacOS Linux,"11,89"
31,"Module de Refroidissement Thermoélectrique, Dissipateur de Chaleur Diamètre Extérieur 26 Mm TES1 04903 Électronique Circulaire Accessoires pour Ordinateur Composants Ventilateurs","12,18"
32,Mikikit 1 Jeu Ordinateur M. 2 De Montage Composants De Montage Du Disque Dur Ssd Ssd Accessoire Informatique Pour M.2 Ssd Adaptateur Serveur Acier Inoxydable M2,"17,28"
33,UKCOCO Accessoires Pour Ordinateur Portable D'Ordinateur 1 Pièce Composant De Bandoulière Matériel De Sport Pour Hommes Et Femmes Bretelles Réglables,"4,79"
34,"Dissipateur Thermique de Refroidisseur, Composants de Refroidissement Industriels de Dissipateur Thermique de Serveur SNK P48PS 2U pour CPU, Ordinateurs et Accessoires","19,49"
35,"YWBL-WH Webcam USB2.0, USB2.0 avec caméra Web HD MIC 300 000 Pixels Cam 360 ° pour Ordinateur Portable PC pour Skype/MSN, Microphone intégré, Accessoires Et Pièces D'Ordinateur","16,59"
36,"Dissipateur de Chaleur, SNK P0048PS 2U Serveur Dissipateur de Chaleur Refroidissement Industriel Dissipateurs de Chaleur en Aluminium Composants pour CPU Accessoires pour Ordinateur","19,53"
37,"Lecteur Carte Identité Belge PC/SC USB Smart Card Reader, Support Digital Signature, Lecteur de Carte CAC,CRS,CNS,IC,SIM,Plug and Play,sans Pilote,Compatible Windows,Mac OS,Linux","16,88"
38,Arctic MX-4 Pasta Térmica 4 Gramos,"6,90"
39,"TP-Link Clé WiFi Puissante AC1300 Mbps, adaptateur USB wifi, dongle wifi, USB 3.0 Double Bande, 2.4G / 5GHz, MU-MIMO, compatible avec Windows 11/10/8.1/8/7/XP, Mac OS X, Archer T3U","15,99"
40,HP 305 Original Noir 1 pièce(s),"18,33"
41,Kingston DataTraveler Exodia M Clé USB 3.2 Gen 1 DTXM/128GB - avec capuchon mobile (Noir + Rouge),"6,66"
42,"TP-Link Adaptateur Bluetooth 5.0 UB500, dongle bluetooth 5.0, clé bluetooth pour PC, casque, souris, manette, clavier, imprimantes, smartphone, tablette, compatible avec Windows 11/10/8.1/7","10,99"
43,UGREEN Adaptateur USB A vers C 3.2 10Gbps Lot de 3 Convertisseur TypeC Femelle à TypeA Mâle Charge Rapide Data Sync Compatible avec iPhone 14 13 Plus Pro Max MacBook iPad Air Galaxy S24 A54,"5,99"
44,MilnoTech Câble USB C 1M - Charge Rapide [Certifié MFi] pour iPhone 14/13/13PRO/12/12 PRO Max/12 Mini/11/11PRO/XS/XR/X/8/8Plus/iPad,"18,00"
45,Apple Câble USB-C vers Lightning (1 m) ​​​​​​​,"9,33"
46,"SanDisk SDSQUA4-032G-GN6MT, Lot de 2 cartes mémoire microSDXC Ultra 32 Go + Adaptateur SD. Vitesse de Lecture Allant jusqu'à 120Mo/S, Classe 10, U1, A1, rouge et gris","19,44"
47,"Logitech C270 Webcam Streaming HD, 720p/30ips, Appel Vidéo HD Large Champ de Vision, Correction de la Lumière, Micro Antiparasites, Skype, FaceTime, Camera PC/Mac/Portable/Tablette/Chromebook","14,99"
48,"Hub USB C, 6 en 1 DEMKICO Adaptateur Multiport Type C avec HDMI 4K, Lecteur de Cartes SD/TF, Port USB 3.0 & USB 2.0, Port PD 100W, Compatible avec MacBook Pro/MacBook Air/Dell XPS et Plus Encore","11,09"
49,OSALADI 100 Pcs Accessoires Informatiques Vis De Montage Du Ventilateur Boîtier De L'Ordinateur Vis Du Ventilateur Ordinateur Ventilateur Vis Longue Composants Informatiques Ordinateur,"14,70"
50,osiuujkw Claviers sans cadre appareil clavier accessoires ordinateur composant pièces de rechange remplacement pour VivoBook S510,"15,24"
51,"Filtre pour Refroidissement à L'eau, Ordinateur G1 4 Filetage 4'' Électronique Intérieure Accessoires pour Ordinateur Composants Ventilateurs Intérieurs Systèmes de Refroidissement avec Large","5,99"
52,"Lot de 4 adaptateurs USB C vers USB 3.0, adaptateur USB type C compatible avec iPhone 15, iPad, Samsung Galaxy S23 S22, MacBook, ChromeBook, Google Pixel","4,69"
53,Kingston Technology DataTraveler Exodia DTX/64GB Flash Drive USB 3.2 Gen 1 - avec capuchon de protection et porte-clés en couleurs multiples,"7,99"
54,"Arctic Mx-4 Highest Performance Thermal Compound, ACTCP00031B","19,99"
55,"Razer DeathAdder Essential (2021) - Souris Gaming Filaire avec Capteur Optique de 6400 DPI (Design Ergonomique, 5 Boutons Programmables, Jusqu'à 10M de Clics) Noir","18,52"
56,"ORIGBELIE Lecteur CD Externe USB 3.0 et Type-C Portable CD/DVD +/-RW Graveur DVD Externe, Ultra Mince Lecteur DVD Externe pour PC Laptop Desktop iMac MacBook Pro/Air Windows 11/10/8/7/XP Linux Mac OS","4,49"
57,"Logitech M90 Souris Filaire USB, Suivi Optique 1000 PPP, Ambidextre, Compatible avec PC/Mac/Portable - Noir","5,98"
58,"Adaptateur USB C vers USB (Lot de 4), Adaptateur USB-C Mâle vers USB-A 3.0 Femelle OTG Compatible avec MacBook Pro, Samsung Galaxy, Téléphones Type-C et Plus (Noir)","8,59"
59,"Adaptateur USB C vers HDMI, HDMI vers USB C 4K Thunderbolt 3 vers HDMI, compatible avec iPhone 16/15Pro Max MacBook Pro/Air, Surface Pro, Pixelbook, iPad Pro, XPS, Samsung Galaxy S/Note Huawei Mate","12,99"
60,UGREEN Hub USB 3.0 4 Data Ports Ultra Fin Multiport Type A 5Gbps Haute Vitesse Compatible avec MacBook iMac Surface XPS PC Ordinateur Portable Disque Dur Clavier Souris (15cm),"9,95"
61,"CLé USB 128 Go, 2 en 1 USB C Pendrive 128gb Portable Clef USB 128go Type C Memory Stick 128 GB pour Huawei Oneplus OTG Android Appareils TéLévision (Noir)","14,24"
62,UGREEN Lot de 2 Câble USB C vers USB C PD 100W 5A 20V Charge Rapide Compatible avec MacBook iPad Pro iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A55 Steam Deck PS5 Manette (2M),"15,19"
63,"KECOW Stylet pour ipad 2018-2024, ipad Pencil avec Adsorption Magnétique & Rejet de Palme, Apple Pencil pour iPad Air M2/3/4/5, iPad Pro M4, iPad Pro 11"" 4/3/2/1, iPad Pro 12,9"" 3/4/5/6, iPad Mini 5/6","17,28"
64,"Module de Refroidissement Thermoélectrique, Dissipateur de Chaleur Diamètre Extérieur 26 Mm TES1 04903 Électronique Circulaire Accessoires pour Ordinateur Composants Ventilateurs","4,79"
65,Mikikit 1 Jeu Ordinateur M. 2 De Montage Composants De Montage Du Disque Dur Ssd Ssd Accessoire Informatique Pour M.2 Ssd Adaptateur Serveur Acier Inoxydable M2,"7,89"
66,"Dissipateur Thermique de Refroidisseur, Composants de Refroidissement Industriels de Dissipateur Thermique de Serveur SNK P48PS 2U pour CPU, Ordinateurs et Accessoires","19,49"
67,"YWBL-WH Webcam USB2.0, USB2.0 avec caméra Web HD MIC 300 000 Pixels Cam 360 ° pour Ordinateur Portable PC pour Skype/MSN, Microphone intégré, Accessoires Et Pièces D'Ordinateur","16,59"
68,"Dissipateur de Chaleur, SNK P0048PS 2U Serveur Dissipateur de Chaleur Refroidissement Industriel Dissipateurs de Chaleur en Aluminium Composants pour CPU Accessoires pour Ordinateur","19,53"
69,"SanDisk 128 Go Ultra microSDXC, Carte micro sd + adaptateur SD (Pour Smartphone et Tablette, Video Full HDD, jusqu'à 140 Mo/s, UHS-I, La performance A1, Class 10, U1)","12,90"
70,"Trust Lecteur DNI, Compatible avec Toutes Les Cartes DNI, Conforme FIPS 201, FIPS TAA et ISO 7816 Classe A, B, C, câble de 100 cm, USB Plug & Play","9,99"
71,"SanDisk 128 Go Extreme PRO carte SDXC + RescuePRO Deluxe, jusqu'à 200 Mo/s, UHS-I, Classe 10, U3, V30","21,25"
72,UGREEN Câble USB C vers USB C PD Charge Rapide 60W Nylon Tressé Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 iPad Pro Air MacBook Pro (1M）,"6,97"
73,UGREEN Revodok 105 Hub USB C HDMI 4K PD 100W Charge 3 Data Ports Adaptateur Multiports Docking Station Compatible avec iPhone 16 15 Série MacBook iPad Pro Air 2024 Surface Galaxy S24 S23 Ultra,"19,99"
