Numéro,Titre,Lien
1,"John Elkann, riche héritier de la famille Agnelli et faiseur de rois de l’automobile",https://www.lemonde.fr/economie/article/2025/02/25/john-elkann-faiseur-de-rois-de-l-automobile_6562610_3234.html
2,"Le soft power offensif des pays du Golfe entre méga-projets, événements sportifs et rêve d’influence culturelle",https://www.lemonde.fr/economie/article/2025/02/23/le-soft-power-offensif-des-pays-du-golfe-entre-mega-projets-evenements-sportifs-et-reve-d-influence-culturelle_6560752_3234.html
3,« La démesure s’inscrit dans chacun des chèques alloués par les géants américains aux technologies »,https://www.lemonde.fr/economie/article/2025/02/25/la-demesure-s-inscrit-dans-chacun-des-cheques-alloues-par-les-geants-americains-aux-technologies_6562976_3234.html
4,« Le protectionnisme tarifaire envisagé par Donald Trump est un choc sans précédent dont on mesure mal les conséquences »,https://www.lemonde.fr/idees/article/2025/02/25/le-protectionnisme-tarifaire-envisage-par-donald-trump-est-un-choc-sans-precedent-dont-on-mesure-mal-les-consequences_6562603_3232.html
5,"Pourquoi certains joueurs de basket, comme Victor Wembanyama, sont « trop » grands",https://www.lemonde.fr/sport/video/2023/03/12/victor-wembanyama-pourquoi-certains-joueurs-de-basket-sont-trop-grands_6165146_3242.html
6,"Rival d’Angela Merkel, millionnaire... Qui est Friedrich Merz, le futur chancelier allemand ?",https://www.lemonde.fr/international/video/2025/02/25/video-qui-est-friedrich-merz-le-futur-chancelier-allemand_6562871_3210.html
7,"En Cisjordanie, la récolte des olives sous la menace de colons armés",https://www.lemonde.fr/international/video/2025/02/20/en-cisjordanie-la-recolte-des-olives-sous-la-menace-de-colons-armes_6556284_3210.html
8,Donald Trump est-il vraiment le « faiseur de deals » qu’il prétend être ?,https://www.lemonde.fr/international/video/2025/02/19/diplomatie-donald-trump-est-il-un-bon-negociateur_6553836_3210.html
9,Ukraine : la guerre et la rupture trois ans après l’invasion russe,https://www.lemonde.fr/idees/article/2025/02/25/ukraine-la-guerre-et-la-rupture-trois-ans-apres-l-invasion-russe_6562909_3232.html
10,"David Van Reybrouck, écrivain : « Le conflit en RDC reflète le monde d’aujourd’hui »",https://www.lemonde.fr/afrique/visuel/2025/02/22/david-van-reybrouck-ecrivain-le-conflit-en-rdc-reflete-le-monde-d-aujourd-hui_6558434_3212.html
11,« Donald Trump et Elon Musk plongent la science américaine dans un indescriptible chaos »,https://www.lemonde.fr/idees/article/2025/02/23/donald-trump-et-elon-musk-plongent-la-science-americaine-dans-un-indescriptible-chaos_6559868_3232.html
12,« Il faut procéder à une revue de notre politique de renseignement »,https://www.lemonde.fr/idees/article/2025/02/25/il-faut-proceder-a-une-revue-de-notre-politique-de-renseignement_6563761_3232.html
13,"Catherine Deneuve : « On me disait rêveuse, mais c’était mélancolique »",https://www.lemonde.fr/culture/article/2025/02/24/catherine-deneuve-on-me-disait-reveuse-mais-c-etait-melancolique_6561921_3246.html
14,"« Une affaire de style » : Denis Grozdanovitch, grand lecteur",https://www.lemonde.fr/livres/article/2025/02/25/une-affaire-de-style-denis-grozdanovitch-grand-lecteur_6562728_3260.html
15,"« Le Roman de Jim », sur Canal+ : un album de famille en mode mélodrame",https://www.lemonde.fr/culture/article/2025/02/25/le-roman-de-jim-sur-canal-un-album-de-famille-en-mode-melodrame_6563628_3246.html
16,"Swann Arlaud, un comédien qui s’impose sans tapage",https://www.lemonde.fr/culture/article/2025/02/25/swann-arlaud-un-comedien-qui-s-impose-sans-tapage_6563760_3246.html
17,"A la fashion week de Londres, des créations so british !",https://www.lemonde.fr/m-styles/article/2025/02/25/a-la-fashion-week-de-londres-des-creations-so-british_6563282_4497319.html
18,"A la fashion week de Londres, un poil de fantaisie",https://www.lemonde.fr/m-styles/article/2025/02/25/a-la-fashion-week-de-londres-un-poil-de-fantaisie_6563146_4497319.html
19,"Entre Boulogne-Billancourt et Sèvres, microvoyages au bout de la ligne 9 du métro parisien",https://www.lemonde.fr/m-styles/article/2025/02/24/entre-boulogne-billancourt-et-sevres-microvoyages-au-bout-de-la-ligne-9-du-metro-parisien_6562031_4497319.html
20,"La France buissonnière : à La Chapelle-Baloue, dans la Creuse, le doux parfum du pop-corn",https://www.lemonde.fr/m-perso/article/2025/02/23/la-france-buissonniere-a-la-chapelle-baloue-dans-la-creuse-le-doux-parfum-du-pop-corn_6560683_4497916.html
